864315 | 06BQ01 Sep 01 02:10:14 06 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  520 | i | 1.29 | 0.48 0.52  2694 |P 1 V Q|	 2801 |
863485 | 06BQ01 Aug 23 02:21:50 06 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  520 | i | 1.39 | 0.64 0.67  2673 |A 1 V Q|	 2792 |
885428 | 06BQ08 Dec 24 20:30:22 06 | L04 D1         |  2:25:58.4  -4:30:28 2000 |  660 | u | 1.10 | 1.32 1.24   318 |P 3 O Q|	 2915 |
885446 | 06BQ08 Dec 24 22:28:34 06 | L04 D1         |  2:25:58.4  -4:30:28 2000 |  660 | u | 1.23 | 0.83 0.85   187 |P 1 V Q|	 2915 |
761054 | 04BQ02 Sep 09 03:40:49 04 | L01 D1         |  2:25:58.4  -4:30:29 2000 |  225 | g | 1.10 | 0.79 0.90   554 |P 1 V Q|	 2079 |
947692 | 07BQ06 Oct 12 01:07:57 07 | L01 D1         |  2:25:58.4  -4:30:29 2000 |  300 | g | 1.10 | 0.84 0.87   523 |P 1 V Q|	 3207 |
947243 | 07BQ06 Oct 07 02:01:53 07 | L01 D1         |  2:25:58.4  -4:30:29 2000 |  300 | g | 1.10 | 0.85 0.87   614 |P 1 V Q|	 3202 |
942591 | 07BQ04 Sep 18 02:43:15 07 | L01 D1         |  2:25:58.4  -4:30:29 2000 |  300 | g | 1.10 | 1.02 1.04   574 |P 1 V D|	 3183 |
761049 | 04BQ02 Sep 09 03:12:19 04 | L01 D1         |  2:25:58.4  -4:30:29 2000 |  300 | r | 1.10 | 0.57 0.68  1030 |P 1 V Q|	 2079 |
762738 | 04BQ02 Sep 22 03:26:50 04 | L01 D1         |  2:25:58.4  -4:30:29 2000 |  300 | r | 1.11 | 0.78 0.87   829 |P 1 V Q|	 2092 |
777020 | 04BQ06 Jan 14 20:15:50 05 | L01 D1         |  2:25:58.4  -4:30:29 2000 |  360 | i | 1.14 | 0.99 1.02  1641 |P 1 V Q|	 2206 |
942598 | 07BQ04 Sep 18 03:27:24 07 | L01 D1         |  2:25:58.4  -4:30:29 2000 |  360 | z | 1.10 | 0.75 0.74  2491 |P 1 V D|	 3183 |
947706 | 07BQ06 Oct 12 02:47:50 07 | L01 D1         |  2:25:58.4  -4:30:29 2000 |  360 | z | 1.16 | 0.84 0.84  2113 |P 1 V Q|	 3207 |
762744 | 04BQ02 Sep 22 04:09:14 04 | L01 D1         |  2:25:58.4  -4:30:29 2000 |  360 | z | 1.17 | 0.62 0.71  1581 |P 1 V Q|	 2092 |
947259 | 07BQ06 Oct 07 03:57:18 07 | L01 D1         |  2:25:58.4  -4:30:29 2000 |  360 | z | 1.29 | 1.18 1.08  2588 |A 1 V Q|	 3202 |
947699 | 07BQ06 Oct 12 01:53:50 07 | L01 D1         |  2:25:58.4  -4:30:29 2000 |  420 | r | 1.10 | 0.89 0.90  1127 |P 1 V Q|	 3207 |
947251 | 07BQ06 Oct 07 02:53:47 07 | L01 D1         |  2:25:58.4  -4:30:29 2000 |  420 | r | 1.14 | 1.05 1.07  1208 |A 1 V Q|	 3202 |
942608 | 07BQ04 Sep 18 04:39:11 07 | L01 D1         |  2:25:58.4  -4:30:29 2000 |  420 | r | 1.20 | 0.84 0.83  1098 |P 1 V Q|	 3183 |
762731 | 04BQ02 Sep 22 02:24:18 04 | L01 D1         |  2:25:58.4  -4:30:29 2000 |  520 | i | 1.10 | 0.78 0.87  2079 |P 1 V Q|	 2092 |
885536 | 06BQ08 Dec 25 19:28:13 06 | L01 D1         |  2:25:58.4  -4:30:29 2000 |  520 | i | 1.15 | 0.98 1.01  2578 |P 1 V Q|	 2916 |
761042 | 04BQ02 Sep 09 02:04:50 04 | L01 D1         |  2:25:58.4  -4:30:29 2000 |  520 | i | 1.21 | 0.55 0.65  3984 |P 1 V Q|	 2079 |
766347 | 04BQ03 Oct 21 22:13:51 04 | L01 D1         |  2:25:58.4  -4:30:29 2000 |  520 | i | 1.44 | 0.57 0.72  4596 |P 1 V Q|	 2121 |
885548 | 06BQ08 Dec 25 20:57:07 06 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  225 | g | 1.10 | 0.83 0.86   879 |P 1 V Q|	 2916 |
826505 | 05BQ09 Nov 24 21:41:27 05 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  225 | g | 1.13 | 0.66 0.69   355 |P 1 V Q|	 2520 |
836034 | 05BQ13 Jan 31 19:22:07 06 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  225 | g | 1.16 | 0.85 0.85   742 |P 1 V D|	 2588 |
860618 | 06AQ11 Aug 01 04:33:56 06 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  225 | g | 1.21 | 0.73 0.74   417 |P 1 V D|	 2770 |
879890 | 06BQ07 Nov 17 01:20:57 06 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  225 | g | 1.32 | 0.81 0.83   361 |P 1 V Q|	 2878 |
